ack,fixflo,0.008598 , 8.602547 , 0.000999471
ack,nothing,0.009959 , 5.996967 , 0.00166067
array1,fixflo,0.016279 , 2.421009 , 0.00672406
array1,nothing,0.017289 , 3.158117 , 0.00547446
boyer,fixflo,0.280529 , 4.582242 , 0.0612209
boyer,nothing,0.265294 , 4.565850 , 0.058104
browse,fixflo,0.209178 , 3.993175 , 0.0523839
browse,nothing,0.216994 , 4.025576 , 0.0539038
cat,fixflo,0.007901 , 4.733283 , 0.00166924
cat,nothing,0.007095 , 4.805623 , 0.0014764
conform,fixflo,0.755837 , 5.125844 , 0.147456
conform,nothing,0.757169 , 5.191819 , 0.145839
cpstak,fixflo,0.030156 , 4.605668 , 0.00654758
cpstak,nothing,0.038055 , 4.777573 , 0.00796534
ctak,fixflo,0.023804 , 0.345844 , 0.0688287
ctak,nothing,0.027367 , 0.355225 , 0.0770413
dderiv,fixflo,0.045162 , 6.005335 , 0.00752031
dderiv,nothing,0.049264 , 5.786134 , 0.00851415
deriv,fixflo,0.023779 , 5.913670 , 0.00402102
deriv,nothing,0.022795 , 5.680139 , 0.00401311
destruc,fixflo,0.048513 , 5.490131 , 0.0088364
destruc,nothing,0.053514 , 5.546500 , 0.00964825
diviter,fixflo,0.008188 , 5.018218 , 0.00163165
diviter,nothing,0.010514 , 4.894955 , 0.00214793
divrec,fixflo,0.009792 , 5.698359 , 0.00171839
divrec,nothing,0.008996 , 5.576650 , 0.00161315
dynamic,fixflo,1.91885 , 4.642235 , 0.413347
dynamic,nothing,1.77328 , 4.524627 , 0.391918
earley,fixflo,0.80518 , 5.741849 , 0.14023
earley,nothing,0.794538 , 5.632558 , 0.141062
fft,fixflo,0.081242 , 4.621490 , 0.0175792
fft,nothing,0.109455 , 4.759500 , 0.0229972
fib,fixflo,0.010536 , 5.095167 , 0.00206784
fib,nothing,0.011571 , 5.484223 , 0.00210987
fibc,fixflo,0.018267 , 5.165654 , 0.00353624
fibc,nothing,0.018411 , 5.179721 , 0.00355444
fibfp,fixflo,0.010245 , 4.188408 , 0.00244604
fibfp,nothing,0.011473 , 5.045898 , 0.00227373
gcbench,fixflo,0.03635 , 5.447406 , 0.0066729
gcbench,nothing,0.040447 , 5.241270 , 0.00771702
gcold,nothing,0.233481 , 10.576998 , 0.0220744
graphs,fixflo,1.03373 , 5.781835 , 0.178789
graphs,nothing,1.11447 , 5.867710 , 0.189932
lattice,fixflo,0.322237 , 3.900862 , 0.0826066
lattice,nothing,0.328659 , 3.941422 , 0.0833859
matrix,fixflo,0.694987 , 5.294395 , 0.131268
matrix,nothing,0.741926 , 5.429844 , 0.136639
maze,nothing,1.15712 , 3.786768 , 0.305568
mazefun,fixflo,0.299062 , 3.900215 , 0.0766783
mazefun,nothing,0.345197 , 3.993426 , 0.0864413
mbrot,fixflo,0.028586 , 5.173014 , 0.00552599
mbrot,nothing,0.03698 , 5.252564 , 0.00704037
nboyer,fixflo,0.371205 , 4.680079 , 0.079316
nboyer,nothing,0.369725 , 4.677441 , 0.0790443
nqueens,fixflo,0.06004 , 5.169082 , 0.0116152
nqueens,nothing,0.065734 , 5.397981 , 0.0121775
nucleic,nothing,5.36786 , 11.923140 , 0.450205
paraffins,fixflo,0.329167 , 4.068565 , 0.0809049
paraffins,nothing,0.403478 , 3.997233 , 0.100939
parsing,fixflo,0.683445 , 10.615668 , 0.0643808
parsing,nothing,0.709379 , 10.602366 , 0.0669076
perm9,fixflo,0.1055 , 5.960314 , 0.0177004
perm9,nothing,0.101793 , 5.598376 , 0.0181826
peval,fixflo,1.09833 , 4.166870 , 0.263587
peval,nothing,1.09582 , 4.203613 , 0.260686
pi,fixflo,0.054645 , 5.261049 , 0.0103867
pi,nothing,0.054171 , 5.256036 , 0.0103064
pnpoly,fixflo,0.102727 , 4.914206 , 0.0209041
pnpoly,nothing,0.117579 , 5.048881 , 0.0232881
primes,fixflo,0.026812 , 4.481600 , 0.00598268
primes,nothing,0.027584 , 4.514642 , 0.0061099
puzzle,fixflo,0.131053 , 5.409289 , 0.0242274
puzzle,nothing,0.163396 , 5.514579 , 0.0296298
