ackermann,0.008775 , 5.838518 , 0.00150295
ary,0.016068 , 5.309046 , 0.00302653
binarytrees-generic,0.058481 , 3.332594 , 0.0175482
binarytrees,0.04105 , 2.903368 , 0.0141388
fannkuch,0.094853 , 1.315456 , 0.0721066
fannkuch-redux-generic,0.107862 , 1.472042 , 0.0732737
fannkuch-redux,0.094969 , 1.523797 , 0.0623239
fasta-generic,0.026331 , 5.850097 , 0.00450095
fasta,0.023366 , 5.769691 , 0.00404978
fibo,0.017238 , 4.995018 , 0.00345104
hash,0.018588 , 4.833439 , 0.00384571
hash2,0.017913 , 4.761146 , 0.00376233
heapsort,0.260891 , 3.946159 , 0.0661126
lists,0.076631 , 2.108669 , 0.0363409
mandelbrot-generic,0.107378 , 6.269649 , 0.0171266
mandelbrot,0.026985 , 5.728937 , 0.0047103
matrix,0.046631 , 4.458431 , 0.0104591
meteor,0.283583 , 0.899144 , 0.315392
moments,0.619066 , 5.956707 , 0.103928
nbody-generic,0.050776 , 4.872282 , 0.0104214
nbody,0.046598 , 4.756458 , 0.00979679
nbody-vec-generic,0.094731 , 6.309645 , 0.0150137
nbody-vec,0.060065 , 5.441751 , 0.0110378
nestedloop,0.017634 , 4.178863 , 0.00421981
nsieve,0.61033 , 4.162823 , 0.146614
nsievebits,0.023781 , 1.209957 , 0.0196544
partialsums,0.022403 , 4.948785 , 0.00452697
pidigits,0.050537 , 4.850690 , 0.0104185
pidigits1,0.035379 , 4.338493 , 0.00815467
random,0.010558 , 5.281210 , 0.00199916
recursive,0.028655 , 11.341845 , 0.00252648
regexmatch,0.179417 , 2.371309 , 0.0756616
sieve,0.019293 , 4.747080 , 0.00406418
spectralnorm-generic,0.077762 , 5.402519 , 0.0143937
spectralnorm,0.047965 , 6.682811 , 0.00717737
spellcheck,0.016435 , 4.909153 , 0.00334783
strcat,0.0062 , 3.526453 , 0.00175814
sumcol,0.011325 , 2.479495 , 0.00456746
wc,0.016119 , 3.373035 , 0.00477878
wordfreq,0.010053 , 3.348836 , 0.00300194
