[2015-02-27T12:09:29]	4099.000000	ms	cpu	cpstak	PycketNoTypeSizeSpecialization	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:29]	0.000000	ms	gc	cpstak	PycketNoTypeSizeSpecialization	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:29]	4099.000000	ms	total	cpstak	PycketNoTypeSizeSpecialization	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:34]	4415.000000	ms	cpu	sboyer	PycketNoCallgraph	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:34]	0.000000	ms	gc	sboyer	PycketNoCallgraph	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:34]	4415.000000	ms	total	sboyer	PycketNoCallgraph	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:40]	4900.000000	ms	cpu	lattice	PycketNoTypeSizeSpecialization	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:40]	0.000000	ms	gc	lattice	PycketNoTypeSizeSpecialization	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:40]	4900.000000	ms	total	lattice	PycketNoTypeSizeSpecialization	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:46]	4856.000000	ms	cpu	nboyer	PycketNoStrategies	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:46]	0.000000	ms	gc	nboyer	PycketNoStrategies	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:46]	4856.000000	ms	total	nboyer	PycketNoStrategies	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:51]	4492.000000	ms	cpu	sieve	PycketNoStrategies	ShootoutBenchmarks	50000	0	1		
[2015-02-27T12:09:51]	0.000000	ms	gc	sieve	PycketNoStrategies	ShootoutBenchmarks	50000	0	1		
[2015-02-27T12:09:51]	4492.000000	ms	total	sieve	PycketNoStrategies	ShootoutBenchmarks	50000	0	1		
[2015-02-27T12:09:58]	5777.000000	ms	cpu	ray	Pycket	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:58]	0.000000	ms	gc	ray	Pycket	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:09:58]	5777.000000	ms	total	ray	Pycket	CrossBenchmarksNothing		0	1		nothing
[2015-02-27T12:10:04]	6128.000000	ms	cpu	fasta	PycketNoPruneEnv	ShootoutBenchmarks	100000000	0	1		
[2015-02-27T12:10:04]	0.000000	ms	gc	fasta	PycketNoPruneEnv	ShootoutBenchmarks	100000000	0	1		
[2015-02-27T12:10:04]	6128.000000	ms	total	fasta	PycketNoPruneEnv	ShootoutBenchmarks	100000000	0	1		
[2015-02-27T12:10:09]	5299.000000	ms	cpu	nbody-generic	Pycket	ShootoutBenchmarks	8000000	0	1		
